structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-120.17714
mdscoring_2.pdb	mdref_2.pdb	None	-137.810527
mdscoring_3.pdb	mdref_3.pdb	None	-154.40623000000002
mdscoring_4.pdb	mdref_4.pdb	None	-124.52762
mdscoring_5.pdb	mdref_5.pdb	None	-122.58278
mdscoring_6.pdb	mdref_6.pdb	None	-139.74530000000001
mdscoring_7.pdb	mdref_7.pdb	None	-144.3458
mdscoring_8.pdb	mdref_8.pdb	None	-147.88883
mdscoring_9.pdb	mdref_9.pdb	None	-125.58719948000001
mdscoring_10.pdb	mdref_10.pdb	None	-146.42968
